design,source,epochs,batch_size,train_steps,initial_loss,final_loss,loss_delta,loss_decreased,training_compare,native_accumulated_optimizer,eval_only_loss_mode,software_reference_match,status,notes
deeplearn_Pipeline_VITIS_LOOP_126_7,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.5.0.fe.end.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
deeplearn_Pipeline_VITIS_LOOP_127_8,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.5.0.fe.end.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
deeplearn_Pipeline_VITIS_LOOP_133_9,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.5.0.fe.end.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
deeplearn_Pipeline_VITIS_LOOP_134_10,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.5.0.fe.end.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
deeplearn_Pipeline_VITIS_LOOP_136_12,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.5.0.fe.end.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
deeplearn_Pipeline_VITIS_LOOP_143_13,artifacts/training_cnn_stream_converge_3epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.5.0.fe.end.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
deeplearn_Pipeline_VITIS_LOOP_144_14,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.5.0.fe.end.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
deeplearn_Pipeline_VITIS_LOOP_148_16,artifacts/training_cnn_stream_converge_3epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.5.0.fe.end.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
deeplearn_Pipeline_VITIS_LOOP_151_17,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.5.0.fe.end.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
deeplearn_Pipeline_VITIS_LOOP_153_19,artifacts/training_cnn_stream_converge_3epoch_b4_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.5.0.fe.end.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
